Source_id,Isl_id,RA_1,E_RA,DEC_1,E_DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,RA_max,E_RA_max,DEC_max,E_DEC_max,Maj,E_Maj,Min,E_Min,PA,E_PA,Maj_img_plane,E_Maj_img_plane,Min_img_plane,E_Min_img_plane,PA_img_plane,E_PA_img_plane,DC_Maj,E_DC_Maj,DC_Min,E_DC_Min,DC_PA,E_DC_PA,DC_Maj_img_plane,E_DC_Maj_img_plane,DC_Min_img_plane,E_DC_Min_img_plane,DC_PA_img_plane,E_DC_PA_img_plane,Isl_Total_flux,E_Isl_Total_flux,Isl_rms,Isl_mean,Resid_Isl_rms,Resid_Isl_mean,S_Code,RA_2,DEC_2,SIDEPROB,FPEAK,FINT,RMS,MAJOR,MINOR,POSANG,FITTED_MAJOR,FITTED_MINOR,FITTED_POSANG,FLDNAME,NSDSS,SDSS_SEP,SDSS_MAG,SDSS_CLASS,NTMASS,TMASS_SEP,TMASS_MAG,YEAR,MJD,MJDRMS,MJDSTART,MJDSTOP,Separation
0,0,22.54572160889584,8.284843040280766E-5,-1.385026881391401,1.1217977874950763E-4,1.8364369915475302E-4,1.9185239009810482E-5,1.0388765158505986E-4,7.404513673240669E-6,22.54572160889584,8.284843040280766E-5,-1.385026881391401,1.1217977874950763E-4,0.0035230260767478063,2.7380736660971816E-4,0.0027738177306755956,1.8130670630076814E-4,20.519407391692155,13.901192484040251,0.0035229413380826156,2.7380736660971816E-4,0.0027733735743469203,1.8130670630076814E-4,20.545987746653964,13.901192484040251,0.002599418436939168,2.7380736660971816E-4,0.0015127996348223499,1.8130670630076814E-4,21.492706307591657,13.901192484040251,0.002599350331698336,2.7380736660971816E-4,0.0015125606459104025,1.8130670630076814E-4,21.519286662553466,13.901192484040251,1.1483105691524457E-4,7.821233444251263E-6,6.886765731906053E-6,-2.1293696761404135E-7,7.5501375249587E-6,1.2340728972048964E-6,S,22.545974629422897,-1.384791719194407,0.014053002,3.56,4.2160726,0.13917083,3.1,1.91,28.8,7.04,5.81,9.3,01315-01310E,1,1.6076732,18.851246,g,0,99.0,99.0,1995.888,2450042.583995524,5.3284737164482,2450040.714282408,2450060.6615625005,1.243346661637694
1,1,22.52318977248942,5.130439025858397E-5,-1.38370554834123,4.885946031584259E-5,1.4846063882686432E-4,1.242021104423233E-5,1.420102220462563E-4,6.95929612679722E-6,22.52318977248942,5.130439025858397E-5,-1.38370554834123,4.885946031584259E-5,0.002449207894878535,1.2222113740891264E-4,0.002359633196341378,1.1355735004953779E-4,114.21229491443935,54.437947156468695,0.002448851359831203,1.2222113740891264E-4,0.002359559726350456,1.1355735004953779E-4,114.23830598127961,54.437947156468695,0.0,1.2222113740891264E-4,0.0,1.1355735004953779E-4,0.0,54.437947156468695,0.0,1.2222113740891264E-4,0.0,1.1355735004953779E-4,0.0,54.437947156468695,1.4027595494223768E-4,7.644126052647597E-6,6.8867661866534036E-6,-2.1293695340318664E-7,2.1130615550646326E-6,-9.434661762952601E-8,S,22.52375773160014,-1.3835110587250294,0.014053002,4.97,5.138475,0.13838321,1.69,0.0,176.0,6.62,5.4,179.2,01315-01310E,0,99.0,99.0,-,0,99.0,99.0,1995.8872,2450042.3457539133,5.141144918339049,2450040.714282408,2450060.6615625005,2.160646965260263
2,2,22.480403169130824,9.66697543630566E-6,-1.3666875937637595,5.244914046318824E-6,0.0023941269385369746,2.297754710288734E-5,0.0014212185855965742,6.8867661866534036E-6,22.48074853040378,9.66697543630566E-6,-1.3667856524452526,5.244914046318824E-6,0.003516650216022744,2.2771425058579743E-5,0.002490706628201353,1.2337110662759794E-5,1.7176980719234414,0.8052086476300451,0.0035166498723950912,2.2771425058579743E-5,0.002490301060323645,1.2337110662759794E-5,1.742369061333818,0.8052086476300451,0.002586715236336476,2.2771425058579743E-5,9.051756961710809E-4,1.2337110662759794E-5,1.550223199093876,0.8052086476300451,0.002586715040443091,2.2771425058579743E-5,9.050282844259519E-4,1.2337110662759794E-5,1.5748941885042524,0.8052086476300451,0.0024608986533193006,2.1086395507365588E-5,6.8867661866534036E-6,-2.1293698182489607E-7,1.1918579730263446E-5,6.300072072917828E-6,M,22.480604596423998,-1.3677638441501536,0.014053002,22.09,24.456785,0.1369705,2.54,1.31,10.5,6.88,5.57,3.0,01285-01310T,0,99.0,99.0,-,0,99.0,99.0,1995.8861,2450041.9158306164,4.451530274476079,2450040.714282408,2450060.6615625005,3.9417365662929993
3,3,22.474390410719305,7.955992934533501E-5,-1.1983423034976939,8.53788451030622E-5,1.1801227812000692E-4,1.4264036661895646E-5,9.650670149030547E-5,7.1807066410732645E-6,22.474390410719305,7.955992934533501E-5,-1.1983423034976939,8.53788451030622E-5,0.0026932179541423887,2.0684756086477963E-4,0.002509989327176961,1.8093075526776198E-4,150.99828227165517,44.39473403831152,0.002693044149253724,2.0684756086477963E-4,0.0025097353646201808,1.8093075526776198E-4,151.01978882443473,44.39473403831152,0.0013001290611362566,2.0684756086477963E-4,8.961554356391566E-4,1.8093075526776198E-4,142.0008723040058,44.39473403831152,0.001300011540768674,2.0684756086477963E-4,8.960879332538551E-4,1.8093075526776198E-4,142.02237885678534,44.39473403831152,1.1519469273995943E-4,8.492810359402148E-6,6.8867666414007545E-6,-2.1293693919233192E-7,1.3442672752717044E-6,-1.221608840751287E-7,S,22.474641841278576,-1.1980333231102194,0.014053002,2.51,2.521106,0.14008234,2.6,0.0,141.4,6.72,5.17,160.7,01285-01050T,1,0.5388255,15.322938,g,1,0.84080017,13.255,1995.8822,2450040.4981509857,0.5837430698102143,2450038.719733797,2450040.71619213,1.4339508299311814
4,4,22.46007549187507,1.7517330313701466E-4,-1.4379759987412373,1.781227880597269E-4,3.585810848774636E-5,1.1364979414258484E-5,3.77817955280698E-5,6.77872270799472E-6,22.46007549187507,1.7517330313701466E-4,-1.4379759987412373,1.781227880597269E-4,0.002419134718709198,4.5910284395074297E-4,0.0021687760153030504,3.6787080321807404E-4,137.19269840835875,69.98811940271482,0.002418983377210446,4.5910284395074297E-4,0.0021685706771867094,3.6787080321807404E-4,137.21814620613253,69.98811940271482,0.0,4.5910284395074297E-4,0.0,3.6787080321807404E-4,0.0,69.98811940271482,0.0,4.5910284395074297E-4,0.0,3.6787080321807404E-4,0.0,69.98811940271482,2.6288140505076476E-5,6.192449666684669E-6,6.886765731906053E-6,-2.1293693919233192E-7,9.423337843372792E-8,-2.1333332256290305E-7,S,22.460166962880027,-1.4377444682822234,0.4595142,1.1,0.7635294,0.14571866,2.08,0.0,23.3,6.64,3.65,15.2,01285-01310T,1,7.5016828,21.66514,g,0,99.0,99.0,1995.8939,2450044.7903960953,7.581366648324657,2450040.714282408,2450060.6615625005,0.8961616308119614
5,5,22.45806695569405,1.652533688336722E-4,-1.0590451903194595,1.8860559616561514E-4,4.8672829227058076E-5,1.3330540384566175E-5,4.298279914749043E-5,7.061271965099277E-6,22.45806695569405,1.652533688336722E-4,-1.0590451903194595,1.8860559616561514E-4,0.0026699749755232584,4.662570481227726E-4,0.0023445562657632008,3.623422143739297E-4,28.8890792206404,54.63288045044973,0.00266995625667786,4.662570481227726E-4,0.0023441717742881665,3.623422143739297E-4,28.907784346579405,54.63288045044973,0.0012281588548914801,4.662570481227726E-4,2.3924059828276458E-4,3.623422143739297E-4,33.21450877991428,54.63288045044973,0.001228142883172624,4.662570481227726E-4,2.392027977575067E-4,3.623422143739297E-4,33.23321390585329,54.63288045044973,3.878777349345007E-5,7.150425803397972E-6,6.8867666414007545E-6,-2.1293693919233192E-7,3.9391599671034783E-7,-2.1140390060736536E-7,S,22.458029113669813,-1.0586222252393833,0.014053002,1.31,1.3717924,0.1493189,4.01,0.0,53.8,7.12,5.1,40.3,01285-01050T,0,99.0,99.0,-,0,99.0,99.0,1995.8795,2450039.5014774376,0.9212310856055145,2450038.719733797,2450040.71619213,1.5287542687922744
6,6,22.44530570328156,4.1097669202842354E-5,-0.9508659378240298,4.0627637070408894E-5,1.6902301917242878E-4,1.1949236115993025E-5,1.686937947772341E-4,6.888467012063177E-6,22.44530570328156,4.1097669202842354E-5,-0.9508659378240298,4.0627637070408894E-5,0.0023958324873394276,9.959470251631103E-5,0.00231190416928084,9.273357202104598E-5,49.56950751108131,47.063821728982475,0.0023957458217471485,9.959470251631103E-5,0.002311573405787177,9.273357202104598E-5,49.586090317214826,47.063821728982475,0.0,9.959470251631103E-5,0.0,9.273357202104598E-5,0.0,47.063821728982475,0.0,9.959470251631103E-5,0.0,9.273357202104598E-5,0.0,47.063821728982475,1.59624105956738E-4,8.329993779427223E-6,6.8867666414007545E-6,-2.1293693919233192E-7,9.805181662159157E-7,-2.3646416025258077E-7,S,22.44546327314428,-0.9505611620503769,0.014053002,6.97,6.980372,0.13423017,1.4,0.0,151.7,6.5,5.32,174.2,01285-01050T,1,7.3255167,21.117924,g,0,99.0,99.0,1995.8778,2450038.900517975,0.5123288775873363,2450038.719733797,2450040.71619213,1.2351184933166968
7,7,22.441501360594014,8.018471689152149E-6,-1.035148759256614,7.163382496324091E-6,9.711196922756357E-4,1.2361371055054362E-5,9.337462725942873E-4,6.948085541087194E-6,22.441501360594014,8.018471689152149E-6,-1.035148759256614,7.163382496324091E-6,0.002470000094298624,1.891875990876212E-5,0.0023276715477524804,1.682668445150167E-5,81.87632634517291,5.223077391684678,0.002469669123580307,1.891875990876212E-5,0.0023275916420408362,1.682668445150167E-5,81.894310245709,5.223077391684678,0.0,1.891875990876212E-5,0.0,1.682668445150167E-5,0.0,5.223077391684678,0.0,1.891875990876212E-5,0.0,1.682668445150167E-5,0.0,5.223077391684678,9.760814910091036E-4,1.1585012246794567E-5,6.886765731906053E-6,-2.1293696761404135E-7,1.191093360830564E-5,1.4430919463848113E-6,S,22.441658857776584,-1.0348083438113107,0.014053002,29.01,30.381823,0.14653084,1.53,1.05,0.9,6.58,5.5,0.1,01285-01050T,0,99.0,99.0,-,0,99.0,99.0,1995.879,2450039.325317477,0.8485305632405081,2450038.719733797,2450040.71619213,1.3502637092968173
9,9,22.428723312277953,3.903476185884191E-5,-1.6780079875271974,3.818128003723891E-5,1.6145851135905358E-4,1.1305307092342033E-5,1.71097681774705E-4,6.777218369689375E-6,22.428723312277953,3.903476185884191E-5,-1.6780079875271974,3.818128003723891E-5,0.0023648192822461017,9.708953499055897E-5,0.0022059240693328075,8.430062707926772E-5,130.46756384587363,23.79346811540103,0.0023647107296317486,9.708953499055897E-5,0.002205669705788868,8.430062707926772E-5,130.49634142000878,23.79346811540103,0.0,9.708953499055897E-5,0.0,8.430062707926772E-5,0.0,23.79346811540103,0.0,9.708953499055897E-5,0.0,8.430062707926772E-5,0.0,23.79346811540103,1.5014228726035087E-4,8.546393290696326E-6,6.8867666414007545E-6,-2.1293693919233192E-7,1.3656432429343113E-6,-3.591954111925588E-7,S,22.428741262508797,-1.6778083286918348,0.014053002,4.04,3.7628496,0.13721886,0.0,0.0,4.3,6.34,5.08,0.8,01285-01310T,1,0.72201574,23.939945,s,0,99.0,99.0,1995.9343,2450059.5135086826,3.867134670611217,2450040.714282408,2450060.6615625005,0.7216683327835448
10,10,22.42184661368989,6.52258182172665E-5,-1.5345193084833901,5.650252522846095E-5,1.3619177215211742E-4,1.3120062794670688E-5,1.2250838317415526E-4,7.045745677058403E-6,22.42184661368989,6.52258182172665E-5,-1.5345193084833901,5.650252522846095E-5,0.0025944963599367175,1.557757556305956E-4,0.0023686362995484615,1.3048899615474314E-4,107.8068667392104,26.80085072710016,0.002594190840800166,1.557757556305956E-4,0.002368562356139268,1.3048899615474314E-4,107.8329994922666,26.80085072710016,0.0011563748941077828,1.557757556305956E-4,0.0,1.3048899615474314E-4,105.18632825009527,26.80085072710016,0.0011562325296857125,1.557757556305956E-4,0.0,1.3048899615474314E-4,105.21246100315146,26.80085072710016,1.2817583280805037E-4,7.762646601019405E-6,6.886765731906053E-6,-2.1293696761404135E-7,1.5361418945758487E-6,-1.157587448119557E-7,S,22.422020356365508,-1.5342666739204336,0.014053002,2.8,3.3709805,0.15298888,3.16,2.21,9.5,7.13,5.84,2.9,01285-01310T,0,99.0,99.0,-,0,99.0,99.0,1995.9149,2450052.455513372,8.898018126936531,2450040.714282408,2450060.6615625005,1.1036750794183678
