_RAJ2000,_DEJ2000,_r,NVSS,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,S1.4,e_S1.4,l_MajAxis,MajAxis,l_MinAxis,MinAxis,f_resFlux,Source_id,Isl_id,RA,E_RA,DEC,E_DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,RA_max,E_RA_max,DEC_max,E_DEC_max,Maj,E_Maj,Min,E_Min,PA,E_PA,Maj_img_plane,E_Maj_img_plane,Min_img_plane,E_Min_img_plane,PA_img_plane,E_PA_img_plane,DC_Maj,E_DC_Maj,DC_Min,E_DC_Min,DC_PA,E_DC_PA,DC_Maj_img_plane,E_DC_Maj_img_plane,DC_Min_img_plane,E_DC_Min_img_plane,DC_PA_img_plane,E_DC_PA_img_plane,Isl_Total_flux,E_Isl_Total_flux,Isl_rms,Isl_mean,Separation
20.3560833,-1.4242778,1.150411,012125-012527,01 21 25.46,-01 25 27.4,0.19,1.9,14.0,1.2,,51.2,<,28.2,,3204,2973,20.353202210216757,4.144507726117478E-5,-1.4249637825355974,3.5379680283793044E-5,1.8579550536112883E-4,1.2147780682383689E-5,1.820923335963827E-4,6.912639167949856E-6,20.353202210216757,4.144507726117478E-5,-1.4249637825355974,3.5379680283793044E-5,0.0024724554409426293,9.764773484866672E-5,0.0022813706786807206,8.324662010926295E-5,85.9287504643243,19.961732125784593,0.0024720115060490816,9.764773484866672E-5,0.002281364796376015,8.324662010926295E-5,85.90158413515917,19.961732125784593,0.0,9.764773484866672E-5,0.0,8.324662010926295E-5,0.0,19.961732125784593,0.0,9.764773484866672E-5,0.0,8.324662010926295E-5,0.0,19.961732125784593,1.7457391740096856E-4,8.59964209595464E-6,6.8867661866534036E-6,-2.1293693919233192E-7,10.658748093157737
20.38,-1.5387778,1.138063,012131-013219,01 21 31.20,-01 32 19.6,0.05,0.8,30.0,1.3,,19.5,<,16.6,,3201,2971,20.380845659186395,5.727181700609118E-5,-1.538445013805413,4.706433390683825E-5,7.479931869671511E-4,2.8663338647425982E-5,2.9111542049346377E-4,6.886765731906053E-6,20.381214789449256,5.727181700609118E-5,-1.5392670190152855,4.706433390683825E-5,0.004311419653358639,1.531538600515936E-4,0.002962568361390943,8.375720455223666E-5,34.50282972789274,4.339821195101449,0.004311276991558481,1.531538600515936E-4,0.00296214257203001,8.375720455223666E-5,34.47424200758378,4.339821195101449,0.0036033351547336986,1.531538600515936E-4,0.0018223522878572857,8.375720455223666E-5,35.25169451109193,4.339821195101449,0.0036032093600072883,1.531538600515936E-4,0.0018220936921382463,8.375720455223666E-5,35.22310679078297,4.339821195101449,8.624633184610615E-4,2.3327111204408057E-5,6.886765731906053E-6,-2.1293695340318664E-7,3.270596586997471
20.401125,-1.2958611,1.106301,012136-011745,01 21 36.27,-01 17 45.1,0.49,10.0,3.5,0.6,<,109.0,<,49.6,,3200,2970,20.399689079428168,6.393842097060196E-5,-1.2954584646281404,6.242766927555478E-5,1.424315848340658E-4,1.3556970762532909E-5,1.2331054717054242E-4,7.073992462326945E-6,20.399689079428168,6.393842097060196E-5,-1.2954584646281404,6.242766927555478E-5,0.002749730646788178,1.7060687593281411E-4,0.0023221505406178667,1.2317220790419568E-4,132.86129512941204,15.006749618596512,0.0027495169276088795,1.7060687593281411E-4,0.002321941991071353,1.2317220790419568E-4,132.83764827056,15.006749618596512,0.001441212257459913,1.7060687593281411E-4,0.0,1.2317220790419568E-4,129.22789062890732,15.006749618596512,0.0014410849424659896,1.7060687593281411E-4,0.0,1.2317220790419568E-4,129.20424377005529,15.006749618596512,1.33287316329987E-4,8.21965786443175E-6,6.8867666414007545E-6,-2.1293693919233192E-7,5.367416411469816
20.4189583,-1.326,1.086943,012140-011933,01 21 40.55,-01 19 33.6,0.05,0.9,22.6,0.8,<,22.0,<,17.7,,3199,2969,20.41894046886467,9.561367770522493E-6,-1.3263072307727735,8.750295377514117E-6,7.658898044837113E-4,1.2046933927057881E-5,7.576098596384927E-4,6.902794745989163E-6,20.41894046886467,9.561367770522493E-6,-1.3263072307727735,8.750295377514117E-6,0.002417323721322502,2.2513769527548494E-5,0.0023118380108606415,2.0606426406543493E-5,88.15336572757397,8.511791831718732,0.002416934956036153,2.2513769527548494E-5,0.0023118379512026316,2.0606426406543493E-5,88.12960127069906,8.511791831718732,0.0,2.2513769527548494E-5,0.0,2.0606426406543493E-5,0.0,8.511791831718732,0.0,2.2513769527548494E-5,0.0,2.0606426406543493E-5,0.0,8.511791831718732,7.502757008113627E-4,1.0597182283818614E-5,6.8867661866534036E-6,-2.1293693919233192E-7,1.10789101793649
20.4332917,-1.5921111,1.095111,012143-013531,01 21 43.99,-01 35 31.6,0.03,0.6,78.3,2.4,<,20.2,<,14.3,,3197,2967,20.433104137431176,2.921398004817219E-6,-1.592248386265882,2.9224525737199473E-6,0.002681917516654494,1.6918724815400167E-5,0.002471876597030453,6.8867661866534036E-6,20.43345627744166,2.921398004817219E-6,-1.5925863841951424,2.9224525737199473E-6,0.0024693261564768905,7.265750426719906E-6,0.0023294566425964783,6.4725893859600445E-6,45.117979389225376,2.043347784900049,0.0024692073308025956,7.265750426719906E-6,0.0023291880200052013,6.4725893859600445E-6,45.08984361787142,2.043347784900049,7.581186917223963E-4,7.265750426719906E-6,0.0,6.4725893859600445E-6,57.67140423336888,2.043347784900049,7.580558434547876E-4,7.265750426719906E-6,0.0,6.4725893859600445E-6,57.64326846201493,2.043347784900049,0.002634412598959944,1.9205629655666555E-5,6.8867661866534036E-6,-2.1293695340318664E-7,0.836564996648788
20.4582917,-1.7667222,1.120382,012149-014600,01 21 49.99,-01 46 00.2,0.07,1.2,15.9,0.7,<,26.3,<,21.9,,3195,2965,20.458136204749557,3.1398185119040234E-5,-1.7662056743986425,3.852555777470491E-5,4.927145289679565E-4,3.0016110289907102E-5,2.625981019932916E-4,6.8867661866534036E-6,20.45830151957979,3.1398185119040234E-5,-1.76655395093913,3.852555777470491E-5,0.003067152930912611,9.094275143946572E-5,0.0027272042522357006,7.366384891348976E-5,96.86922090386847,10.464575221902544,0.0030666601645450943,9.094275143946572E-5,0.002727173283564211,7.366384891348976E-5,96.83878265167438,10.464575221902544,0.0020059862257068776,9.094275143946572E-5,0.0013270171270049667,7.366384891348976E-5,96.63972382505446,10.464575221902544,0.002005664636604275,9.094275143946572E-5,0.0013270016009294008,7.366384891348976E-5,96.60928557286037,10.464575221902544,4.6143750176085696E-4,1.2890612942536125E-5,6.8867661866534036E-6,-2.1293696761404135E-7,1.9418471228396108
20.464875,-1.4774444,1.046048,012151-012838,01 21 51.57,-01 28 38.8,0.08,1.2,20.8,1.2,,31.9,<,27.5,,3192,2962,20.464932206337497,2.2091270598693035E-4,-1.4778208909879333,2.0451739922456292E-4,0.0012707473772977692,5.689983826361181E-5,4.7014018155999617E-4,6.886765731906053E-6,20.462980412577203,2.2091270598693035E-4,-1.4756844125514128,2.0451739922456292E-4,0.011778404234554904,7.033851566377573E-4,0.0025928610267987396,8.836056883725492E-5,137.30319703813146,2.902142325200021,0.01177741543892027,7.033851566377573E-4,0.0025926945862016445,8.836056883725492E-5,137.2779037818573,2.902142325200021,0.011541896697876483,7.033851566377573E-4,0.0010855900529056948,8.836056883725492E-5,137.23941925767343,2.902142325200021,0.011540925872135786,7.033851566377573E-4,0.001085520544302915,8.836056883725492E-5,137.21412600139928,2.902142325200021,0.0011598314198212546,3.2529662930569373E-5,6.886765731906053E-6,-2.1293698182489607E-7,1.3709140943571998
20.4670833,-1.6575,1.0778,012152-013927,01 21 52.10,-01 39 27.0,0.14,2.7,8.1,0.5,<,46.8,<,28.3,,3193,2963,20.466426844273627,2.2829187260836128E-5,-1.656421484397634,2.2350088822251886E-5,3.1426814828267437E-4,1.2121529082095889E-5,3.087786655450306E-4,6.9148247413552805E-6,20.466426844273627,2.2829187260836128E-5,-1.656421484397634,2.2350088822251886E-5,0.0024183140069586272,5.520262628473191E-5,0.0023265414635133138,5.111301814985778E-5,52.97275125935277,23.908725397402485,0.002418176749009476,5.520262628473191E-5,0.0023263053588018067,5.111301814985778E-5,52.94444454954109,23.908725397402485,0.0,5.520262628473191E-5,0.0,5.111301814985778E-5,0.0,23.908725397402485,0.0,5.520262628473191E-5,0.0,5.111301814985778E-5,0.0,23.908725397402485,3.0699999995248504E-4,9.410738974748208E-6,6.8867661866534036E-6,-2.1293698182489607E-7,4.544805341058429
20.4731667,-1.7704444,1.107851,012153-014613,01 21 53.56,-01 46 13.6,0.08,1.3,16.0,0.7,<,31.6,<,25.3,,3191,2961,20.473543756570397,4.564634307943411E-5,-1.769878077881203,3.126716494707798E-5,5.307005208710493E-4,2.5276281970360404E-5,2.594786444510705E-4,6.8867661866534036E-6,20.473942580286387,4.564634307943411E-5,-1.7703872399148974,3.126716494707798E-5,0.0033135064896059893,1.0784267144495284E-4,0.0026609471180371875,7.310943732321095E-5,173.70954499420478,6.268226171249369,0.003313379482892325,1.0784267144495284E-4,0.002660602419183357,7.310943732321095E-5,173.67951921576642,6.268226171249369,0.0023053357227359557,1.0784267144495284E-4,0.0012981993460069417,7.310943732321095E-5,172.80603368510629,6.268226171249369,0.0023052421846562338,1.0784267144495284E-4,0.001298034090730094,7.310943732321095E-5,172.77600790666793,6.268226171249369,5.120198590315467E-4,1.1934388174480252E-5,6.8867661866534036E-6,-2.1293695340318664E-7,2.448944125598478
20.4853333,-1.6306944,1.053224,012156-013750,01 21 56.48,-01 37 50.5,0.05,0.8,33.1,1.4,,24.1,<,22.0,,3186,2958,20.486290211792348,9.600385494315908E-6,-1.6280477801858277,9.250309822772717E-6,9.719002166441073E-4,1.3796452935565129E-5,8.256713823663797E-4,7.125551585301171E-6,20.486290211792348,9.600385494315908E-6,-1.6280477801858277,9.250309822772717E-6,0.0026756129824466565,2.412520760754763E-5,0.0024319688244304606,2.008781720464533E-5,50.916371671443294,3.875619958538628,0.0026754743337503947,2.412520760754763E-5,0.002431729924169119,2.008781720464533E-5,50.88911403559078,3.875619958538628,0.0012847494164285407,2.412520760754763E-5,6.024313619183331E-4,2.008781720464533E-5,57.5436546807764,3.875619958538628,0.0012846610324456801,2.412520760754763E-5,6.023824087506784E-4,2.008781720464533E-5,57.516397044923885,3.875619958538628,0.001595148027560006,2.0088568293557017E-5,6.8867661866534036E-6,-2.1293698182489607E-7,10.13100145049862
